"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability"
"03/01/2026 12:08:08:982 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"28","90","3","3","30","50","70","50","50","50","0.5","2000","2000","92.04044582640604","98","100","83.33333333333333","85.21739130434783","1134","100","8","0","0","83.33333333333333","0.25268783784856824","3.381505345517865","25","1100"
"33","40","3","3","30","50","70","50","50","50","0.5","2000","2000","39.223673151641606","60","100","66.66666666666667","56.60377358490566","1450","100","5.555555555555555","0","0","66.66666666666667","0.25055996323391105","3.3435114245452198","0","0"
"34","45","3","3","30","50","70","50","50","50","0.5","2000","2000","45.323004462390486","82","100","35.84817402717241","66.12903225806451","644","100","2.898550724637681","33.33333333333333","9.09091383409453","49.22680412371135","0.2389668934414166","3.145766334263803","50","2000"
"32","35","3","3","30","50","70","50","50","50","0.5","2000","2000","35.0490203431691","49","100","100","51.041666666666664","938","100","10.344827586206897","0","0","100","0.2548157124632254","3.4194992664905084","0","0"
"36","55","3","3","30","50","70","50","50","50","0.5","2000","2000","56.21352420240083","98","100","48.2839550795772","68.53146853146853","748","100","2.73972602739726","33.33333333333333","9.090909130295392","67.8804780542181","0.23978741581767463","3.160009192539803","50","1900"
"35","50","3","3","30","50","70","50","50","50","0.5","2000","2000","50.765288682856344","64","100","66.66666666666667","59.813084112149525","1415","100","11.11111111111111","0","0","66.66666666666667","0.250559963233911","3.3435114245452198","0","0"
"38","65","3","3","30","50","70","50","50","50","0.5","2000","2000","64.93594909504081","97","100","66.66666666666667","75.78125","867","100","6.896551724137931","0","0","66.66666666666667","0.25055996323391105","3.3435114245452198","25","1800"
"37","60","3","3","30","50","70","50","50","50","0.5","2000","2000","59.48403220016013","88","100","72.14765100671131","71.54471544715447","919","100","4","0","0","72.14765100671131","0.24973640476442374","3.3289791820009245","0","0"
"39","70","3","3","30","50","70","50","50","50","0.5","2000","2000","70.6398730546867","96","100","89.89898986480442","76.8","586","100","0","0","0","89.89898986480442","0.25947602322588276","3.5071331418338283","0","0"
"42","85","3","3","30","50","70","50","50","50","0.5","2000","2000","85.99595502151173","88","100","73.06269087717986","77.87610619469027","411","100","3.225806451612903","0","0","73.06269087717986","0.25085403606413514","3.348740037050574","0","0"
"40","75","3","3","30","50","70","50","50","50","0.5","2000","2000","76.73091567688215","98","100","66.66666666666667","79.67479674796748","586","100","6.557377049180328","0","0","66.66666666666667","0.2505599632478295","3.343511424791627","50","750"
"41","80","3","3","30","50","70","50","50","50","0.5","2000","2000","80.73461848833558","91","100","50","81.25","1039","100","9.30232558139535","0","0","50","0.24843208861925384","3.3055175035725757","0","0"
"44","95","3","3","30","50","70","50","50","50","0.5","2000","2000","96.4047185052085","105","100","66.66666666666667","91.30434782608695","996","100","10.606060606060606","0","0","66.66666666666667","0.2505601192042244","3.3435141857953945","42.857142857142854","200"
