"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","40","90.53237649329834","2","100","52.26325433091866","100","0","0","0","52.26325433091866","0.23396850840708092","3.055064303179607"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","60","77.11936557900619","0","100","40.68718905472637","0","0","0","0","40.68718905472637","0.3947064138525689","10.381303869552669"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","60","76.13939470939164","0","100","24.444434475499737","0","0","0","0","24.444434475499737","0.39285849088803254","10.35123343601398"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","60","63.66272811896071","2","100","42.77007041092396","100","0","0","0","42.77007041092396","0.5555204346146031","17.707728403903868"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","60","90.00008775797987","1","100","54.06456279638044","100","0","0","0","54.06456279638044","0.23786290191716616","3.123195820958536"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","80","77.60037936866892","1","100","24.444444444444414","50","0","0","0","24.444444444444414","0.3844089396098455","10.20787761818673"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","60","91.8946230558202","3","100","34.46517056663029","100","50","33.33333333333333","9.091021026823954","47.152245336533454","0.22723788577299886","2.9420066651360215"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","60","90.70016749228175","2","100","28.34286765995962","100","25","33.33333333333333","9.091936313212184","37.968333333333334","0.2257874532509768","2.9190906760117437"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","60","92.15665819034281","1","100","26.71394799054374","100","0","0","0","26.71394799054374","0.22305133333028845","2.8717309044505392"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","80","63.591292530331884","3","100","44.786640863919104","100","0","0","0","44.786640863919104","0.556665470562436","17.727537280393367"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","60","90.61152027444014","2","100","52.263252910070946","100","0","0","0","52.263252910070946","0.23402153347041588","3.0559877378414497"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","80","90.30018819462067","2","100","54.065040586888806","100","0","0","0","54.065040586888806","0.23786760734369572","3.1232788802461378"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","100","76.90669823412976","3","83.33333333333334","44.15409602634272","75","0","0","0","44.15409602634272","0.3940729758951136","10.36976000852948"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","80","90.35543774347066","3","100","34.46513326031832","100","50","33.33333333333333","9.09090909092207","47.15224534501644","0.22738089768600353","2.944444888382025"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","80","90.39181209403972","2","100","29.664289956680438","100","25","33.33333333333333","9.090909091028193","39.95098038950656","0.22637177777476788","2.92930975713419"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","80","77.4731212616187","2","100","33.63677708971393","66.66666666666666","0","0","0","33.63677708971393","0.39157443593713176","10.327310153466245"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","80","90.43299304102395","2","100","56.49519440799923","100","0","0","0","56.49519440799923","0.23851415536936918","3.132295556022965"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","60","76.57341628031106","0","100","38.39369432723863","0","0","0","0","38.39369432723863","0.3901252232970853","10.30306609110181"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","80","90.03253456245066","4","100","52.263252910070946","100","0","0","0","52.263252910070946","0.23402159250900798","3.0559887662181766"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","100","90.30019459364159","2","100","54.06504065039805","100","0","0","0","54.06504065039805","0.23786760801694906","3.123278891919989"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","100","63.35853103183971","5","100","47.90243180032135","100","0","0","0","47.90243180032135","0.5569965728955841","17.733298762594757"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","120","77.26235152485056","4","100","52.60221358700116","80","0","0","0","52.60221358700116","0.3940895306522166","10.370043302877223"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","100","90.43166553693884","3","100","34.46513326031399","100","50","33.33333333333333","9.090909090909092","47.15224534501644","0.22738101254825374","2.9444468508700026"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","100","90.40321738396197","3","100","38.71547597588571","100","20","33.33333333333333","9.090909090909092","53.52775941837402","0.2302462361558468","2.99371533868541"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","100","77.51157291265027","3","100","33.73594851006601","75","0","0","0","33.73594851006601","0.3913797092335703","10.323996849095698"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","100","90.58832872340754","3","100","56.49519440803844","100","0","0","0","56.49519440803844","0.23854139625552692","3.132764655365971"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","80","76.66131015562954","0","100","38.39369432723863","0","0","0","0","38.39369432723863","0.3901303606307964","10.30315335741282"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","100","89.99368625909851","4","100","52.263252910070946","100","0","0","0","52.263252910070946","0.23402159257472488","3.0559887673628814"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","120","90.30019476578912","3","100","54.898494782716035","75","0","0","0","54.898494782716035","0.2380529039715595","3.1264941454396116"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","120","63.1968786453241","6","100","47.90243059371411","85.71428571428571","0","0","0","47.90243059371411","0.5569969429574059","17.733305210460063"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","120","90.63573284245389","5","66.66666666666666","26.283315078495804","100","50","33.33333333333333","9.090909090909092","0","0.2258685418714841","2.918610639295037"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","140","77.10279906315218","5","100","59.01028271098329","83.33333333333334","0","0","0","59.01028271098329","0.3983726725086607","10.443482043224147"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","120","90.2169415004828","5","100","38.71547597588576","100","20","33.33333333333333","9.090909090909092","53.52775941837409","0.23026495687889556","2.9940312543600336"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","100","76.66235261974587","2","100","47.17499062353492","66.66666666666666","0","0","0","47.17499062353492","0.392899819772506","10.349565315658744"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","120","77.35620614582255","3","100","33.73594851185276","75","0","0","0","33.73594851185276","0.39137956249976585","10.323994354301012"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","120","90.99075897729399","3","100","56.49519440803845","100","0","0","0","56.49519440803845","0.2385414216534394","3.1327650928570066"
